Symbol,Number,Name,Mass,B4CMEDE
,,,,
H,1.0,Hydrogen,1.0079,
He,2.0,Helium,4.0026,
Li,3.0,Lithium,6.941,
Be,4.0,Beryllium,9.0122,
B,5.0,Boron,10.811,"[0.1300,0.2200],[0.6100,0.700],[0.6100,0.700]"
C,6.0,Carbon,12.0107,"[0.24,0.32],[0.61,0.69],[0.61,0.69]"
N,7.0,Nitrogen,14.0067,"[0.35,0.42],[0.61,0.68],[0.61,0.68]"
O,8.0,Oxygen,15.9994,"[0.47,0.56],[0.61,0.7],[0.61,0.7]"
F,9.0,Fluorine,18.9984,
Ne,10.0,Neon,20.1797,
Na,11.0,Sodium,22.9897,
Mg,12.0,Magnesium,24.305,
Al,13.0,Aluminum,26.9815,"[1.43,1.52],[1.55,1.64],[1.55,1.64]"
Si,14.0,Silicon,28.0855,"[1.65,1.83],[1.05,1.23],[0.91,1.1]"
P,15.0,Phosphorus,30.9738,
S,16.0,Sulfur,32.065,
Cl,17.0,Chlorine,35.453,
K,19.0,Potassium,39.0983,
Ar,18.0,Argon,39.948,
Ca,20.0,Calcium,40.078,
Sc,21.0,Scandium,44.9559,
Ti,22.0,Titanium,47.867,
V,23.0,Vanadium,50.9415,
Cr,24.0,Chromium,51.9961,
Mn,25.0,Manganese,54.938,
Fe,26.0,Iron,55.845,
Ni,28.0,Nickel,58.6934,
Co,27.0,Cobalt,58.9332,
Cu,29.0,Copper,63.54600000000001,
Zn,30.0,Zinc,65.39,
Ga,31.0,Gallium,69.723,
Ge,32.0,Germanium,72.64,
As,33.0,Arsenic,74.9216,
Se,34.0,Selenium,78.96,
Br,35.0,Bromine,79.904,
Kr,36.0,Krypton,83.8,
Rb,37.0,Rubidium,85.4678,
Sr,38.0,Strontium,87.62,
Y,39.0,Yttrium,88.9059,
Zr,40.0,Zirconium,91.22399999999999,
Nb,41.0,Niobium,92.9064,
Mo,42.0,Molybdenum,95.94,
Tc,43.0,Technetium,98.0,
Ru,44.0,Ruthenium,101.07,
Rh,45.0,Rhodium,102.9055,
Pd,46.0,Palladium,106.42,
Ag,47.0,Silver,107.8682,
Cd,48.0,Cadmium,112.411,
In,49.0,Indium,114.818,
Sn,50.0,Tin,118.71,
Sb,51.0,Antimony,121.76,
I,53.0,Iodine,126.9045,
Te,52.0,Tellurium,127.6,
Xe,54.0,Xenon,131.293,
Cs,55.0,Cesium,132.9055,
Ba,56.0,Barium,137.327,
La,57.0,Lanthanum,138.9055,
Ce,58.0,Cerium,140.116,
Pr,59.0,Praseodymium,140.9077,
Nd,60.0,Neodymium,144.24,
Pm,61.0,Promethium,145.0,
Sm,62.0,Samarium,150.36,
Eu,63.0,Europium,151.964,
Gd,64.0,Gadolinium,157.25,
Tb,65.0,Terbium,158.9253,
Dy,66.0,Dysprosium,162.5,
Ho,67.0,Holmium,164.9303,
Er,68.0,Erbium,167.25900000000001,
Tm,69.0,Thulium,168.9342,
Yb,70.0,Ytterbium,173.04,
Lu,71.0,Lutetium,174.967,
Hf,72.0,Hafnium,178.49,
Ta,73.0,Tantalum,180.9479,
W,74.0,Tungsten,183.84,
Re,75.0,Rhenium,186.207,
Os,76.0,Osmium,190.23,
Ir,77.0,Iridium,192.217,
Pt,78.0,Platinum,195.078,
Au,79.0,Gold,196.9665,
Hg,80.0,Mercury,200.59,
Tl,81.0,Thallium,204.3833,
Pb,82.0,Lead,207.2,
Bi,83.0,Bismuth,208.9804,
Po,84.0,Polonium,209.0,
At,85.0,Astatine,210.0,
Rn,86.0,Radon,222.0,
Fr,87.0,Francium,223.0,
Ra,88.0,Radium,226.0,
Ac,89.0,Actinium,227.0,
Pa,91.0,Protactinium,231.0359,
Th,90.0,Thorium,232.0381,
Np,93.0,Neptunium,237.0,
U,92.0,Uranium,238.0289,
Am,95.0,Americium,243.0,
Pu,94.0,Plutonium,244.0,
Cm,96.0,Curium,247.0,
Bk,97.0,Berkelium,247.0,
Cf,98.0,Californium,251.0,
Es,99.0,Einsteinium,252.0,
Fm,100.0,Fermium,257.0,
Md,101.0,Mendelevium,258.0,
No,102.0,Nobelium,259.0,
Rf,104.0,Rutherfordium,261.0,
Lr,103.0,Lawrencium,262.0,
Db,105.0,Dubnium,262.0,
Bh,107.0,Bohrium,264.0,
Sg,106.0,Seaborgium,266.0,
Mt,109.0,Meitnerium,268.0,
Rg,111.0,Roentgenium,272.0,
Hs,108.0,Hassium,277.0,
Ds,110.0,Darmstadtium,,
Uub,112.0,Ununbium,,
Uut,113.0,Ununtrium,,
Uuq,114.0,Ununquadium,,
Uup,115.0,Ununpentium,,
Uuh,116.0,Ununhexium,,
Uus,117.0,Ununseptium,,
Uuo,118.0,Ununoctium,,
